0ad	古代战争即时策略游戏
fork-cleaner	从您的 GitHub 帐户中清理旧的和不活动的分叉
formdev	表单开发
forspace	ERP Forspace 解决方案
fortask	任务
fortd	轻松将您的数据保存在您自己的数据中心
fortify	一款深度城堡防御游戏
fort-leto-cli	FORT leto 命令行实用程序
fortran-fpm	Fortran 包管理器
fort-studio	FORmicidae Tracker 后处理流程的图形用户界面
fortune-cm	显示随机命运
fotograph	用于图像处理的开源跨平台桌面应用程序
foxglove-studio	机器人数据的可视化和调试工具
fractalattackonline	多人可破坏星球模拟！
fractalattack	可破坏的行星模拟。
fractal	Matrix 群组消息应用
fragments	BitTorrent 客户端
frame	适用于 macOS、Windows 和 Linux 的系统范围 Web3
frame-it	在桌面系统上使用 Ubuntu Frame 的实用程序
franz-kafka	弗朗西斯科
freac	音频转换器和 CD 抓取工具
free42	HP-42S 计算器模拟器
freecad	开源参数化 3D CAD 建模器
freecad-mechanical	FreeCAD 机械师
freecad-realthunder	FreeCAD 开发分支，具有改进的 UI、渲染等功能
freecash-desktop	官方 FreeCash 桌面应用程序。
freecell-solitaire	空当接龙，纸牌游戏
freeciv21	21 世纪的 Freeciv
freecol-linux	FreeCol 是一款 4X 视频游戏，是 Sid Meier 的《殖民》的克隆版。
freedcamp	免费露营
free-games-webapp	一个简单的应用程序，提供一些静态的基于节点的游戏。
freemars	关于火星殖民的免费回合制策略游戏。
freemat-unofficial	用于快速工程、科学原型设计和数据处理的免费环境
freemind	用Java编写的一流思维导图软件
freeorion-agrrr3	太空帝国与银河征服的回合制电脑游戏 (4X)
freeorion	太空帝国与银河征服的回合制电脑游戏 (4X)
freeplane-mindmapping	思维导图、知识和项目管理的应用
freeshow	一个基于 Electron 构建的免费开源演示器，任何人都可以轻松使用
freetube	一款保护隐私的开源 YouTube 应用。
freshenv	用于配置和管理本地开发人员环境的 CLI。
frets-on-fire	Frets on Fire 是一款考验音乐技巧和快速手指的游戏。
friendly-neighbor	友邻网络服务
friendsreferee	好友裁判
frog	从图像中提取文本
frogger-remake	经典街机游戏的版本
frogmatch	青蛙游戏
frogsquash	互动故事，您可以自定义角色、文本和声音！
fromscratch	从头开始
frr	FRRouting BGP/OSPFv2/OSPFv3/ISIS/RIP/RIPng/PIM/LDP/EIGRP/Babel/BFD 路由守护进程 (Quagga Fork)
fruitfall	把水果放进篮子里。
fscorex	简单的应用程序记分板
fsearch	图形文件搜索应用程序
fslint-unofficial	文件系统 Lint 检测器和清理器
fs-tools	有用的 shell 文件系统工具集
fsuae	FS-UAE Amiga 模拟器
fswebcam	摄影：fswebcam
ftp-manager	简单快速的 FTP 客户端。
ftpscan	简单的 FTP 扫描默认用户名/密码。
ftxui-starter	我的摘要
fucker	ROS示例
fuego	Fuego 是 Firestore 数据库的命令行客户端。
fugio	Fugio 是一个用于创建数字艺术的开放式视觉编程系统
full-discography	发现您喜爱的艺术家的完整唱片！
functy	3D 图形设计，效果生动、立竿见影
fundiverse	多元化基金
funkplot	放克图应用程序
furch-diaoulek	Furch-Diaoulek 软件快照
future-pinball-bam	Future Pinball，使用 BAM 的弹球创建工具
future-pinball	Future Pinball，弹球创作工具
fuzzit	将连续模糊测试集成到 c/c++/go/rust 项目中的软件。
fuzzy-repo-finder	用于浏览 git 存储库的命令行工具。
fwloader	ZTEX 的 FPGA 图像加载器
fwupd	Linux 的固件更新
fx	命令行工具和终端 JSON 查看器
fzf-carroarmato0	命令行模糊查找器
fzf-slowday	fzf 是一个通用的命令行模糊查找器
fzyr	快速 unicode 模糊文本搜索
g4music	优雅地演奏您的音乐。
gabutdm	简单快速的下载管理器
gaditek-poc	测试 Gaditek-POC 的 Linux 应用程序
galacticgroove	来自 GloopBloop 的白痴
galagans-island	加拉甘岛是我们的街机风格太空射击游戏
galaxian	经典街机游戏的重制版
galleon	适用于 Tezos 区块链的加密货币钱包，对特所思 (Tezos) 成为当今领先的质押网络的功能提供深入支持。
gallery-dl	从各种图像托管网站下载图像库和集合
gambit	终端中的棋盘。
gamblers-dice	一个可怕的想法，现在成为现实。
gamblify-verifier	检查硬盘
gam-bp	GAM 是一款供 Google Workspace 管理员使用的命令行工具。
game-2048	2048益智游戏
gamecake	单一跨平台 exe 游戏引擎
gamecakejam	游戏蛋糕的例子
kglife	Qt 中的另一场人生游戏
game-scorecard-flutter	玩一款可以监控玩家得分的游戏。
gswatcher	一个简单的游戏服务器监控和管理工具。
game-watch-ball	便携式任天堂游戏和手表
game-watch-donkeykong2	任天堂 Game & Watch 掌上游戏
game-watch-donkeykong-circus	任天堂 Game & Watch 掌上游戏
game-watch-donkeykong	任天堂 Game & Watch 掌上游戏
game-watch-dkongjr	便携式任天堂游戏和手表
gandi-live-dns	GADI 动态 DNS 更新器
gang-garrison-2	Gang Garrison 2 是 Valve 的 Team Fortress 2 的免费多人游戏版本
gasparilla-quest-for-the-key	非常精美的扫雷益智游戏
gate	用于医学成像和放射治疗数值模拟的工具包
gateway3000-gpio-led8	8LED 开/关
gateway-go	OpenIoTHub 网关
gathertown	更好的在线见面方式
gatimaan	由 Kivy 提供支持的极简媒体下载器
gating-hello-jason	hello-jason 的开场快照
gaucho	高乔人
gauge2	动漫女孩剥夺了你硬件的使用权
gaui-counter	柜台
gaurodan	好射手
gbeuzeboc-listener	基本 ROS2 监听器
gbeuzeboc-ros2-listener-component	ROS2监听器基本组件
gbeuzeboc-ros2-talker-component	ROS2扬声器的基本组成
gbeuzeboc-snapped-cpp-app	记录启动时的目录
gbeuzeboc-snapped-ros1-pkg	ROS1 包基本快照
gbeuzeboc-snapped-ros2-pkg	ROS2 包基本快照
gbeuzeboc-talker	基本 ROS2 播音员
gcap-egw-3200	恢复G-sesore校准值工具
gcolor3	由 Jente Hiidskens 用 GTK+ 3 编写的颜色选择对话框
gcompris	适合2至10岁儿童的多功能教育游戏
gdesk	桌面
g-dis3	C++开发的Redis客户端工具，具有系统级稳定性。
gdu-disk-usage-analyzer	用 Go 编写的非常快的磁盘使用分析器。
gearboy	跨平台 Game Boy 和 Game Boy Color 模拟器。
gearcoleco	非常准确的跨平台 ColecoVision 模拟器。
gearsystem	跨平台 Sega Master System/Game Gear/SG-1000 模拟器。
ge-desktop	桌面 Phantom 网上商店
geelus	吉鲁斯
geewallet	极简主义加密货币脑钱包
geforce-now-desktop	Linux 上的 GeForce NOW 云游戏
geforcenow-electron	适用于 Nvidia GeForce NOW 游戏流媒体服务的 Linux 桌面客户端
geforcenow	现在的GeForce
gelectrical	GElectrical 是一款用于 LV/MV 配电网络的免费开源电气系统分析软件。
gelf-pretty	用于打印 GELF 日志行的 CLI
gemi-hello	单行电梯推介为您带来精彩快照
gemini	Gemini – 如需更新版本，请访问 GitHub 存储库
rjd-gemma	GWAS 数据模型工具包。
genact	无意义活动的产生者
genesyscloud-cli	用于与 Genesys Cloud Platform API 交互的独立 CLI 包。
genio-test-tool	Genio测试工具
genopro	用于绘制家谱和家系图的最佳家谱软件。
genshin-resource-calc	原神游戏的资源计算器。
genx	GenX 3 - 表面衍射反射测量和细化
geocoder	Geocoder 是一个简单且一致的地理编码库。
geogebra-discovery	GeoGebra 的实验版本
geoip-lookup	通过循环 geoip.ubuntu.com 设置启动时的时区
geojson	这是一个生成 .geojson 文件的实用程序。
gephi	开放图可视化平台
gerenciadorcs	弧线管理器
gestimator	GEestimator 是土木估算软件，用于准备土木/电力工程的成本和数量估算
getenv	跟踪您的 .env 文件
geth	以太坊协议的官方 Go 实现
get-iplayer	用于从 BBC iplayer 下载内容的 CLI
getting-things-gnome	个人任务管理器和 TODO 列表项
gforth	从现在开始
ggdgfg	我的测试
gh	GitHub CLI
ghdl	VHDL模拟器
ghettorecorder	无线电录音机，一次存档数百个流。
ghfetch	从 GitHub 获取信息的 CLI 工具
co2offset	二氧化碳核算
ghide	使用简单的命令隐藏系统上的文件夹
ghidra	NSA 为支持网络安全任务而开发的软件逆向工程 (SRE) 工具（非官方快照）
ghostbusters	更新经典游戏
ghostcloud	适用于 Nextcloud、ownCloud、WebDav 的现代跨平台客户端。
ghostscript-printer-app	Ghostscript 打印机应用程序
ghostwriter	适用于 Markdown 的无干扰文本编辑器
ghvmctl	用于在快照测试期间操作虚拟机的实用程序。
gibbr	gibbr 是一个用于打乱文件名的实用程序。
gicuaca	命令行天气工具。
gif-cli	用于搜索 gif 的 CLI 工具
gifcurry	Haskell 为 GIF 创作者创建的开源视频编辑器。
gifex	强大而简单的桌面 GIF 录制器
gifski	高品质 GIF 编码器
gigant	不错的跳棋游戏
gigi2	吉吉2
gin-pkg-rust	单行电梯推介为您带来精彩快照
girinoscope	一个简单的 Java 图形用户界面，用于 Tadpole（一种快速的 Arduino 示波器）
gisoplox	用于切割机的简单 CAM 软件
gistdeck	要点甲板
gisto	代码片段管理器在 GitHub Gists 上运行，并添加了其他功能，例如使用高级代码编辑器搜索和标记要点。
git-cola	富含咖啡因的 Git GUI
git-confined	吉特SCM
git-delta-snap	具有 git、diff 和 grep 输出语法高亮显示功能的分页器
git-deps	一个在git提交之间进行依赖关系分析的工具
gitea	Gitea – 一个简单的自托管 Git 服务
giter	Git 用户管理器
git-fame	漂亮打印的“git”存储库贡献者，按贡献排序
git-filter-repo	用于重写 Git 存储库历史记录的多功能工具
glint	Git 的图形界面
github-gui	github-gui
github-package-manager	基于 GitHub 构建的 Linux 包管理器
github-stats	通过 github-api 打印存储库统计信息
gitignores	为开源项目创建 .gitignore
gitkraken	用于存储库管理、应用内代码编辑和问题跟踪。
gitlab-artifacts-server	为项目的特定分支提供工件的简单服务器
gitlab-ci-pipelines-exporter	GitLab CI 管道导出器 (prometheus/open-metrics)
gitlab-cli	简单的 GitLab CLI 界面
gitlab-high-views	简单的 GitLab 查看器
gitlive	GitLive 是一个帮助开发人员的程序。
gitls	从 URL/用户/组织列出 git 存储库
git-machete2	git-machete 是一个用于组织 git 存储库的多功能工具
git-machete3	X
git-machete	git-machete 是一个用于组织 git 存储库的多功能工具
git-remote-gosh	Git 开源 Hodler
source-app	适用于 Linux 的 git gui
git-standup	记住你在最后一个工作日做了什么。
git-tidy	修复本地 git 分支
git-todos	面向开发人员的基于 Git 的 Todos 应用程序
git-tui	git 友好的终端界面的集合。
git-ubuntu	Ubuntu开发git工具
gitwrk	一个小型 CLI 工具，可帮助您制作月度报告，直接从 git 存储库提取工作时间。
gjergjitest	跨平台参考
glab	官方 GitLab CLI
glade-attente	为 GTK+ 应用程序创建或打开用户界面设计
glade	为 GTK+ 应用程序创建或打开用户界面设计
gladupe	世界上最好的 Nibbles 克隆。
glances	看看你的系统。顶部/htop 替代方案。
glarea-example	使用 GtkGLArea 和 OpenGL 的示例应用程序
glate	适用于 Linux 桌面版的 Google 翻译
glaxnimate	简单的矢量动画程序
galaxy-forces-v2	受 Amiga 经典 Gravity Force 启发的 2D 多人太空射击游戏
glest-game	3D游戏
glistadmin	现代邮递员 listadmin
glmark2-example-lewontin	Alex Lewontin 的 GLMark2 IoT 示例信息亭
glmixer-unofficial	GLMixer 崩溃了，因为 Ubuntu 20.04 不喜欢 QT4
globalping	从全球分布式测试中运行 ping 和 mtr 等网络命令
globaltoken	多算法加密货币 – 60 种挖掘方式
glossary	以前所未有的方式管理您的单词列表！
glouton	Bleemeo 的 Glouton 监控代理
glove	X 的数据采集、操作和分析程序。
glow	在 CLI 中渲染折扣，有一点不同！ 💅🏻
gltron-game	一款受电影 TRON 启发的游戏
gluu-server	谷歌服务器
gmailctl	以声明方式生成和维护 Gmail 过滤器的工具。
gmail-desktop	专用的跨平台 Gmail 应用程序
gmailfilter	以编程方式过滤 Gmail 邮件
gmail-gui	Gmail 图形用户界面
gmusic	用于管理 Google Play 音乐的工具集合。
gnash-raymii	Gnash - deb 18.04 快速重新打包
gnd	ls、cp、mkdir、文件系统和对象存储的镜像命令。
gnocchi	时间序列数据库即服务
gnome-2048	获取2048块
gnome-boxes	虚拟化变得简单
gnome-calculator	GNOME 计算器
gnome-calendar	GNOME 日历
gnome-characters	字符映射应用程序
gnome-chess	玩经典的两人棋盘游戏
gnome-clocks	简单的 GNOME 应用程序，支持秒表、计时器和世界时钟
gnome-contacts	GNOME 的联系人管理器
gnome-dictionary	检查在线词典中单词的定义和拼写
gnome-easytag	用于查看和编辑音频文件中的标签的简单应用程序。
gnome-firmware	在设备上安装固件
gnome-font-viewer	查看系统上的字体
gnome-info-collect	GNOME 信息收集
gnome-klotski	滑动块来解决难题
gnome-logs	systemd 日志的日志查看器
gnome-mahjongg	匹配瓷砖并清除棋盘
gnome-mines	清除雷区隐藏的地雷
gnome-nibbles	引导蠕虫穿过迷宫
gnome-recipes	GNOME 喜欢做饭
gnome-robots	避开机器人并使它们相互碰撞
gnome-sudoku	在这个数字网格谜题中测试你的逻辑能力
gnome-system-monitor	系统监控器
gnome-taquin	将碎片滑到正确的位置
gnome-tetravex	重新排列碎片以适合正方形
epiphany	适用于 GNOME 的网络浏览器
gnss-sdr-next	GNSS-SDR，“下一个”分支
aris	逻辑证明程序
gnucash-jz	GnuCash 是个人和小型企业财务会计软件
gnuchess	下一盘国际象棋，包括 GUI 和 CLI。运行 gnuchess.readme 获取更多信息！
gnuclad	分支图树生成器
emacs	GNU Emacs 是可扩展的自文档文本编辑器
hello-snapcrafters	熟悉、友好的问候（还有即时包装演示）
gimp	GNU 图像处理程序
nano	受 Pico 启发的小型且用户友好的文本编辑器
gnuplot-editor-unofficial	交互式 gnuplot 脚本编辑器
go14-lbo	Go编程语言编译器
go16-lbo	Go编程语言编译器
goathtool	oathtool 的端口，用于在命令行上生成一次性密码（OTP）。
gobuster-csal	从 Github 存储库创建的 Gobuster 二进制文件
gochat	具有无服务器后端的命令行聊天应用程序
goclockify	Clockify 时间跟踪器的基于终端的客户端
gocreate	创建 .go 应用程序框架
godaddy-ddns	用于更新 Godaddy 帐户中的 IP 和 DNS 名称的工具
go	Go 编程语言
godot4	Godot 引擎，您一直在等待的游戏引擎。
godot-4	您一直在等待的游戏引擎。
godot4-mono	Godot Engine - .NET，您一直在等待的游戏引擎。
gd-godot-engine-mono-snapcraft	Godot Engine – 跨平台 2D 和 3D 游戏引擎
gd-godot-engine-snapcraft	Godot Engine – 跨平台 2D 和 3D 游戏引擎
