0ad	Forn stríðsleikur í rauntíma
flutter-codemagic-example	Flutter Codemagic dæmi
flutter-desktop-sample	Forrit fyrir borðtölvur
flutter	Flutter SDK
flutter-folio	Úrklippuforrit sem virkar óaðfinnanlega á öllum tækjum þínum
flutter-gallery-bugra	Gallerí Flutter
flutter-gallery	Gallerí Flutter
flutter-listview-preview	Flutter Listview app
flutter-manager	titringsstjóri
fnmap	GUI fyrir nmap
opentrivia	Flutter Opentrivia
flutter-portal-test	Forrit til að prófa vefsíðustuðning í Flutter
flutter-system-monitor	System Monitor (rtop) forrit gert með Flutter
fluttertestapp	Flutter kynningu Linux teljara app
flutter-ui-challenges	Flutter UI áskoranir
andrea-flyctl	Skipanalínuviðmót fyrir fly.io
flyway	Útgáfustýring fyrir gagnagrunninn þinn
fman	Tvöföld rúðuskráastjóri fyrir Mac, Windows og Linux
focusfocus	FókusFókus
folding-at-home-fcole90	Folding heima - Hjálpaðu til við rannsóknir með dreifðri tölvuvinnslu
foliate	Lestu rafbækur í stíl
fontvuer	fontvuer
foobar2000	foobar2000 er háþróaður ókeypis hljóðspilari.
foobillard-plus	Billjard leikjahermir
foot-terminal	Hratt, léttur og lægstur Wayland flugstöðvahermi
forecast	Gnome veður app
foreplay	A pre-commit krókastjóri
forest-app	Skógur
forest-server	skógræktarþjónn
forexgeneral-trader	Gjaldeyrisviðskipti með REST API OANDA
fork-cleaner	Hreinsar upp gamla og óvirka gaffla af GitHub reikningnum þínum
formdev	FormDev
forspace	ERP Forspace lausnir
fortask	Verkefni
fortd	Auðvelt að geyma gögnin þín í eigin gagnaveri
fortify	Djúpur kastalavarnarleikur
fort-leto-cli	FORT leto skipanalínuforrit
fortran-fpm	Fortran pakkastjóri
fort-studio	Grafískt notendaviðmót fyrir FORmicidae Tracker eftirvinnsluleiðsluna
fortune-cm	Sýndu tilviljunarkennd auðæfi
fotograph	Opinn uppspretta þvert á palla skrifborðsforrit fyrir myndvinnslu
foxglove-studio	Sýningar- og villuleitartæki fyrir vélfæragögnin þín
fractalattackonline	Multiplayer eyðileggjandi plánetu uppgerð!
fractalattack	Uppgerð eyðileggjandi plánetu.
fractal	Matrix hópskilaboðaforrit
fragments	BitTorrent viðskiptavinur
frame	Kerfisbreiður Web3 fyrir macOS, Windows og Linux
frame-it	Tól til að vinna með Ubuntu Frame á skjáborðskerfum
franz-kafka	Francisco
freac	Hljóðbreytir og CD Ripper
free42	HP-42S reiknihermir
freecad	Opinn uppspretta parametric 3D CAD líkan
freecad-mechanical	FreeCAD vélvirki
freecad-realthunder	FreeCAD þróunargrein með bættu notendaviðmóti, flutningi og fleira
freecash-desktop	Opinbera FreeCash Desktop appið.
freecell-solitaire	FreeCell eingreypingur, kortaleikur
freeciv21	Freeciv fyrir 21. öldina
freecol-linux	FreeCol er 4X tölvuleikur, klón af Sid Meier's Colonization.
freedcamp	ókeypis útilegur
free-games-webapp	Einfalt forrit sem býður upp á nokkra kyrrstæða hnúta-undirstaða leiki.
freemars	Ókeypis snúningsbundinn herkænskuleikur um landnám Mars.
freemat-unofficial	Ókeypis umhverfi fyrir hraðvirka verkfræði, vísindalega frumgerð og gagnavinnslu
freemind	Hágæða hugarkortahugbúnaður skrifaður í Java
freeorion-agrrr3	tölvuleikur um geimveldi og vetrarbrautasigra (4X)
freeorion	tölvuleikur um geimveldi og vetrarbrautasigra (4X)
freeplane-mindmapping	Umsókn um hugarkort, þekkingar- og verkefnastjórnun
freeshow	Ókeypis, opinn kynnirinn byggður á rafeindum sem allir geta notað á auðveldan hátt
freetube	Opinn uppspretta YouTube app fyrir friðhelgi einkalífsins.
freshenv	CLI til að útvega og stjórna þróunarumhverfi á staðnum.
frets-on-fire	Frets on Fire er leikur með tónlistarkunnáttu og hröðum fingrum.
friendly-neighbor	Friendly Neighbour Network Service
friendsreferee	Friends dómari
frog	Dragðu út texta úr myndum
frogger-remake	Útgáfa af klassíska spilakassaleiknum
frogmatch	froska leikur
frogsquash	Gagnvirkar sögur þar sem þú getur sérsniðið persónur, texta og hljóð!
fromscratch	Frá grunni
frr	FRRouting BGP/OSPFv2/OSPFv3/ISIS/RIP/RIPng/PIM/LDP/EIGRP/Babel/BFD leiðarpúkinn (Quagga Fork)
fruitfall	Fáðu ávextina í körfuna.
fscorex	Einföld app stigatafla
fsearch	Myndrænt skráaleitarforrit
fslint-unofficial	File System Lint Detector og Cleaner
fs-tools	gagnlegt skel skráarkerfi verkfærasett
fsuae	FS-UAE Amiga keppinauturinn
fswebcam	Mynd af fswebcam
ftp-manager	Einfaldur og fljótur FTP viðskiptavinur.
ftpscan	Einföld FTP skönnun fyrir sjálfgefið notendanafn/lykilorð.
ftxui-starter	Ágripið mitt
fucker	Dæmi um ROS
fuego	Fuego er skipanalínubiðlari fyrir Firestore gagnagrunninn.
fugio	Fugio er opið sjónrænt forritunarkerfi til að búa til stafræna list
full-discography	Uppgötvaðu ALLA skífumynd listamannanna sem þú elskar!
functy	3D grafísk hönnun með skærum, tafarlausum árangri
fundiverse	fjölbreyttum sjóðum
funkplot	funkplot app
furch-diaoulek	smá smellur á Furch-Diaoulek hugbúnaðinn
future-pinball-bam	Future Pinball, tólið til að búa til pinball með BAM
future-pinball	Future Pinball, tólið til að búa til pinball
fuzzit	Hugbúnaður til að samþætta samfellda flækju í c/c++/go/rust verkefni.
fuzzy-repo-finder	Skipanalínutól til að skoða git geymslur.
fwloader	FPGA myndhleðslutæki fyrir ZTEX
fwupd	Fastbúnaðaruppfærslur fyrir Linux
fx	Skipanalínuverkfæri og flugstöð JSON skoðari
fzf-carroarmato0	Óljós finnandi skipanalínu
fzf-slowday	fzf er almennur skynjunarleitarlína
fzyr	Hratt unicode óskýr textaleit
g4music	Spilaðu tónlistina þína glæsilega.
gabutdm	Einfaldur og fljótur niðurhalsstjóri
gaditek-poc	Er að prófa Linux forrit fyrir Gaditek-POC
galacticgroove	Hálfviti frá GloopBloop
galagans-island	Galagan Island er geimskotleikurinn okkar í spilakassa-stíl
galaxian	Endurgerð af klassíska spilakassaleiknum
galleon	Dulmálsveski fyrir Tezos blockchain með djúpum stuðningi við eiginleika sem gera Tezos að leiðandi veðneti í dag.
gallery-dl	Sæktu myndasöfn og söfn frá ýmsum myndhýsingarsíðum
gambit	Skákborð í flugstöðinni þinni.
gamblers-dice	Hræðileg hugmynd, nú raunveruleg.
gamblify-verifier	Athugaðu harða diskinn
gam-bp	GAM er skipanalínuverkfæri fyrir stjórnendur Google Workspace.
game-2048	2048 ráðgáta leikur
gamecake	einni exe-leikjavél yfir vettvang
gamecakejam	leikjaköku dæmi
kglife	Annar leikur lífsins í Qt
game-scorecard-flutter	Spilaðu leik þar sem þú getur fylgst með stigum leikmanna.
gswatcher	Einfaldur skjár og stjórnunartæki fyrir leikjaþjón.
game-watch-ball	Færanleg Nintendo leikur og úr
game-watch-donkeykong2	Nintendo Game & Watch handfesta leikur
game-watch-donkeykong-circus	Nintendo Game & Watch handfesta leikur
game-watch-donkeykong	Nintendo Game & Watch handfesta leikur
game-watch-dkongjr	Færanleg Nintendo leikur og úr
gandi-live-dns	GANDI Dynamic DNS Updater
gang-garrison-2	Gang Garrison 2 er ókeypis fjölspilunargerð Valve's Team Fortress 2
gasparilla-quest-for-the-key	Mjög fallegur jarðsprengjuþrautaleikur
gate	Verkfærakista fyrir tölulegar eftirlíkingar í læknisfræðilegri myndgreiningu og geislameðferð
gateway3000-gpio-led8	8LED ON/OFF
gateway-go	OpenIoTHub GateWay
gathertown	Betri leið til að hittast á netinu
gatimaan	Minimalist media downloader knúinn af Kivy
gating-hello-jason	Opnunarmynd fyrir halló-jason
gaucho	Gaucho
gauge2	anime stelpur taka í burtu notkun vélbúnaðarins þíns
gaui-counter	Teljari
gaurodan	Góður skotmaður
gbeuzeboc-listener	Basic ROS2 hlustandi
gbeuzeboc-ros2-listener-component	ROS2 Listener Basic hluti
gbeuzeboc-ros2-talker-component	Grunnhluti ROS2 hátalarans
gbeuzeboc-snapped-cpp-app	Skráðu möppuna þar sem hún var ræst
gbeuzeboc-snapped-ros1-pkg	ROS1 Pakki Basic Snap
gbeuzeboc-snapped-ros2-pkg	ROS2 Pakki Basic Snap
gbeuzeboc-talker	Basic ROS2 boðberi
gcap-egw-3200	Endurheimt G-sesore kvörðunargildi
gcolor3	Litavalsgluggi skrifaður í GTK+ 3 af Jente Hidskens
gcompris	Fjölvirkni fræðsluleikur fyrir börn á aldrinum 2 til 10 ára
gdesk	gdesk
g-dis3	Redis viðskiptavinatól þróað í C++ með stöðugleika á kerfisstigi.
gdu-disk-usage-analyzer	Mjög hraður greiningartæki fyrir diskanotkun skrifaður í Go.
gearboy	Game Boy og Game Boy Color keppinautur á vettvangi.
gearcoleco	Mjög nákvæmur ColecoVision keppinautur á vettvangi.
gearsystem	Þverpalla Sega Master System/Game Gear/SG-1000 keppinautur.
ge-desktop	Desktop Phantom eShop
geelus	Geelus
geewallet	naumhyggju cryptocurrency heilaveski
geforce-now-desktop	GeForce NOW Cloud Gaming á Linux
geforcenow-electron	Linux Desktop Client fyrir GeForce NOW leikjastraumþjónustu Nvidia
geforcenow	GeForce NÚNA
gelectrical	GElectrical er ókeypis og opinn uppspretta rafkerfisgreiningarhugbúnaður fyrir LV/MV rafdreifikerfi.
gelf-pretty	CLI til að prenta GELF log línur
gemi-hello	Einlínu lyftuhæð fyrir frábæra skyndimynd þína
gemini	Gemini – Fyrir uppfærðar byggingar, farðu á GitHub geymsluna
rjd-gemma	Verkfærakista fyrir GWAS gögn.
genact	aflaði tilgangslausrar starfsemi
genesyscloud-cli	Sjálfstæður CLI pakki til að tengja við Genesys Cloud Platform API.
genio-test-tool	Genio prófunartæki
genopro	Besti ættfræðihugbúnaðurinn til að teikna ættartré og ættfræðirit.
genshin-resource-calc	Auðlindareiknivél fyrir leikinn Genshin Impact.
genx	GenX 3 - Surface Diffraction Reflectometry and Refinement
geocoder	Geocoder er einfalt og samkvæmt landkóðunasafn.
geogebra-discovery	Tilraunaútgáfa af GeoGebru
geoip-lookup	Stilltu tímabeltið við ræsingu með því að hringja í geoip.ubuntu.com
geojson	Þetta er tól sem býr til .geojson skrár.
gephi	Open Graph Viz vettvangurinn
gerenciadorcs	arcsmanager
gestimator	GEestimator er borgaralegt matshugbúnaður til að útbúa kostnaðar- og magnáætlanir fyrir byggingar-/rafmagnsverk.
getenv	Fylgstu með .env skránum þínum
geth	Opinber Go innleiðing Ethereum siðareglur
get-iplayer	CLI til að hlaða niður efni frá BBC iplayer
getting-things-gnome	Persónulegur verkefnaskipuleggjari og TODO listaatriði
gforth	héðan í frá snap
ggdgfg	prófið mitt
gh	GitHub CLI
ghdl	VHDL hermir
ghettorecorder	Útvarpsupptökutæki, geymdu hundruð strauma í einu.
ghfetch	CLI tól til að sækja upplýsingar frá GitHub
co2offset	CO2 bókhald
ghide	Fela möppur á kerfinu þínu með einföldum skipunum
ghidra	Hugbúnaðarbakverkfræði (SRE) verkfæri þróuð af NSA til stuðnings netöryggisverkefninu (óopinber skyndimynd)
ghostbusters	Uppfærðu í klassíska leikinn
ghostcloud	Nútíma viðskiptavinur á vettvangi fyrir Nextcloud, ownCloud, WebDav.
ghostscript-printer-app	Ghostscript prentaraforrit
ghostwriter	Truflunlaus textaritill fyrir Markdown
ghvmctl	Tól til að vinna með sýndarvélar við skyndimyndaprófun.
gibbr	gibbr er tól til að stokka skráarheiti.
gicuaca	Skipanalínu veðurtól.
gif-cli	CLI tól til að leita að gifs
gifcurry	Opinn uppspretta myndbandsritstjóri búinn til af Haskell fyrir GIF höfunda.
gifex	Öflugur en einfaldur GIF upptökutæki fyrir skrifborð
gifski	Hágæða GIF kóðari
gigant	Fínn tígli
gigi2	GIGI2
gin-pkg-rust	Einlínu lyftuhæð fyrir frábæra skyndimynd þína
girinoscope	Einfalt Java grafískt notendaviðmót fyrir Tadpole, hraðvirkan Arduino sveiflusjá
gisoplox	Einfaldur CAM hugbúnaður fyrir skurðarvélar
gistdeck	GistDeck
gisto	Code Snippet Manager, keyrir á GitHub Gists og bætir við viðbótareiginleikum eins og að leita og merkja meginatriði með háþróaðri kóðaritara.
git-cola	Mjög koffínríkt Git GUI
git-confined	GitSCM
git-delta-snap	Símboði með setningafræði auðkenningu fyrir git, diff og grep úttak
git-deps	Tól til að framkvæma ávanagreiningu milli git commits
gitea	Gitea – Einföld sjálfhýst Git þjónusta
giter	Git notendastjóri
git-fame	Frekar prentaðir „git“ geymsluaðilar, flokkaðir eftir framlögum
git-filter-repo	Fjölhæft tól til að endurskrifa Git geymslusögu
glint	Grafískt viðmót fyrir Git
github-gui	github-gui
github-package-manager	Linux pakkastjórinn byggður á GitHub
github-stats	prentaðu tölfræði geymslu í gegnum github-api
gitignores	Búðu til .gitignore fyrir opinn uppspretta verkefnið
gitkraken	Fyrir geymslustjórnun, kóðabreytingu í forriti og rakningu mála.
gitlab-artifacts-server	Einfaldur þjónn sem þjónar gripum fyrir tiltekna grein verkefnis
gitlab-ci-pipelines-exporter	GitLab CI Pipeline Exporter (prometheus/open-metrics)
gitlab-cli	Einfalt GitLab CLI tengi
gitlab-high-views	Einfaldur GitLab Viewer
gitlive	GitLive er forrit til að hjálpa forriturum.
gitls	Skráning git geymsla frá URL/Notanda/Organization
git-machete2	git-machete er fjölhæft tól til að skipuleggja git geymsluna þína
git-machete3	x
git-machete	git-machete er fjölhæft tól til að skipuleggja git geymsluna þína
git-remote-gosh	Git Open Source Hodler
source-app	Git gui fyrir Linux
git-standup	Mundu hvað þú gerðir á síðasta virka degi.
git-tidy	Lagaðu staðbundin git útibú
git-todos	Git-undirstaða Todos app fyrir forritara
git-tui	Safn af git-vingjarnlegum flugstöðvarviðmótum.
git-ubuntu	Ubuntu þróun git verkfæri
gitwrk	Lítið CLI tól sem hjálpar þér með mánaðarlegar skýrslur og dregur vinnustundir beint úr git geymslunni.
gjergjitest	Tilvísun þvert á vettvang
glab	Opinber GitLab CLI
glade-attente	Búðu til eða opnaðu notendaviðmótshönnun fyrir GTK+ forrit
glade	Búðu til eða opnaðu notendaviðmótshönnun fyrir GTK+ forrit
gladupe	Besti Nibbles klónn í heimi.
glances	Skoðaðu kerfið þitt. Topp/htop valkostur.
glarea-example	Dæmi um forrit sem notar GtkGLArea og OpenGL
glate	Google Translate fyrir Linux skjáborð
glaxnimate	Einfalt vektor hreyfimyndaforrit
galaxy-forces-v2	2D fjölspilunar geimskotleikur innblásinn af klassíska Amiga Gravity Force
glest-game	3D leikur
glistadmin	Nútíma póstmaður listastjóri
glmark2-example-lewontin	GLMark2 IoT dæmi söluturn Alex Lewontin
glmixer-unofficial	GLMixer smellur vegna þess að Ubuntu 20.04 líkar ekki við QT4
globalping	Keyrðu netskipanir eins og ping og mtr úr prófunum sem eru dreifðar á heimsvísu
globaltoken	Multi-Algorithm Cryptocurrency - 60 leiðir til að anna
glossary	Hafðu umsjón með orðalistanum þínum sem aldrei fyrr!
glouton	Glouton Monitoring Agent frá Bleemeo
glove	Gagnaöflun, meðferð og greiningarforrit fyrir X.
glow	Gefðu afslátt í CLI, með ívafi! 💅🏻
gltron-game	Leikur innblásinn af kvikmyndinni TRON
gluu-server	Gluu Server
gmailctl	Verkfæri til að búa til og viðhalda Gmail síum með yfirlýsandi hætti.
gmail-desktop	Sérstakt Gmail forrit á milli palla
gmailfilter	Sía Gmail skilaboð forritað
gmail-gui	gmail-gui
gmusic	Safn verkfæra til að stjórna Google Play Music.
gnash-raymii	Gnash - deb 18.04 fljótt endurpakkað
gnd	ls, cp, mkdir, speglaskipanir fyrir skráarkerfi og hlutgeymslu.
gnocchi	Tímaraðar gagnagrunnur sem þjónusta
gnome-2048	Sæktu 2048 blokkina
gnome-boxes	Sýndarvæðing gerð einföld
gnome-calculator	GNOME reiknivél
gnome-calendar	Dagatal fyrir GNOME
gnome-characters	Stafnakortaforrit
gnome-chess	Spilaðu hið klassíska tveggja manna borðspil
gnome-clocks	Einfalt GNOME app með skeiðklukku, tímamæli og stuðningi við heimsklukku
gnome-contacts	Tengiliðastjóri fyrir GNOME
gnome-dictionary	Athugaðu skilgreiningar og stafsetningu orða í orðabók á netinu
gnome-easytag	Einfalt forrit til að skoða og breyta merkjum í hljóðskrám.
gnome-firmware	Settu upp fastbúnað á tækjum
gnome-font-viewer	Skoðaðu leturgerðirnar á kerfinu þínu
gnome-info-collect	GNOME upplýsingasöfnun
gnome-klotski	Renndu kubbum til að leysa þrautina
gnome-logs	Logaskoðari fyrir systemd dagbókina
gnome-mahjongg	Passaðu flísar og hreinsaðu borðið
gnome-mines	Hreinsaðu faldar jarðsprengjur úr jarðsprengjusvæði
gnome-nibbles	Leiðdu orm í gegnum völundarhús
gnome-recipes	GNOME elskar að elda
gnome-robots	Forðastu vélmenni og láttu þau rekast hvert á annað
gnome-sudoku	Prófaðu rökfræðilega færni þína í þessari talnatöfluþraut
gnome-system-monitor	Kerfisskjár
gnome-taquin	Renndu bitunum á rétta staði
gnome-tetravex	Endurraðaðu bitunum þannig að þeir passi í ferning
epiphany	Vefskoðari fyrir GNOME
gnss-sdr-next	GNSS-SDR, 'næsta' útibú
aris	Rökrétt sönnunarforrit
gnucash-jz	GnuCash er fjárhagsbókhaldshugbúnaður fyrir einstaklinga og lítil fyrirtæki
gnuchess	Spilaðu skák, inniheldur GUI og CLI. Keyrðu gnuchess.readme fyrir frekari upplýsingar!
gnuclad	Cladogram Tree Generator
emacs	GNU Emacs er stækkanlegur sjálfskjalandi textaritill
hello-snapcrafters	Kunnugleg, vingjarnleg kveðja (einnig tafarlaus kynning á umbúðum)
gimp	GNU myndvinnsluforrit
nano	Lítill og notendavænn textaritill innblásinn af Pico
gnuplot-editor-unofficial	Gagnvirkur gnuplot handritaritill
go14-lbo	Farðu í forritunarmálsþýðanda
go16-lbo	Farðu í forritunarmálsþýðanda
goathtool	Port of oathtool, til að búa til einu sinni lykilorð (OTP) á skipanalínunni.
gobuster-csal	Gobuster tvöfaldur búinn til úr Github geymslu
gochat	Skipanalínuspjallforrit með netþjónslausum bakenda
goclockify	Biðlari sem byggir á flugstöðinni fyrir Clockify tímamælinguna
gocreate	Búðu til .go app ramma
godaddy-ddns	Tól til að uppfæra IP og DNS nafnið þitt á Godaddy reikningnum þínum
go	Go forritunarmálið
godot4	Godot Engine, leikjavélin sem þú hefur beðið eftir.
godot-4	Leikjavélin sem þú hefur beðið eftir.
godot4-mono	Godot Engine - .NET, leikjavélin sem þú hefur beðið eftir.
gd-godot-engine-mono-snapcraft	Godot Engine - Þverpalla 2D og 3D leikjavél
gd-godot-engine-snapcraft	Godot Engine - Þverpalla 2D og 3D leikjavél
go-dupfinder	Einfaldur afrit skráaleitari
go-edu	Skipanalínutól til að stjórna skóladóti
go-encryptor	Einfaldur skráardulkóðari
go-eth	Opinber Go innleiðing Ethereum siðareglur
go-example-webserver	Lágmarks Golang vefþjónn fyrir lipurð
gog-galaxy-wine	Leikjasafn fyrir GOG.com. DRM-lausir leikir.
gogitver	Veitir merkingarfræðilega útgáfu í gegnum git sögu
gogocat	Fátækur upprennandi lolcat gerður í golang
gogs	golang byggður git netþjónn og UI
goimports-reviser	Rétt innflutningsflokkun og kóðasniðunarverkfæri (goimports valkostur)
going-nowhere	Eftir að gat á veginum birtist ertu fastur í dularfullum draumabæ
