0ad	古代戰爭即時策略遊戲
frogmatch	青蛙遊戲
frogsquash	互動故事，您可以自訂角色、文字和聲音！
fromscratch	從頭開始
frr	FRRouting BGP/OSPFv2/OSPFv3/ISIS/RIP/RIPng/PIM/LDP/EIGRP/Babel/BFD 路由守護程序 (Quagga Fork)
fruitfall	把水果放進籃子裡。
fscorex	簡單的應用程式記分板
fsearch	圖形檔案搜尋應用程式
fslint-unofficial	檔案系統 Lint 偵測器和清理器
fs-tools	有用的 shell 檔案系統工具集
fsuae	FS-UAE Amiga 模擬器
fswebcam	攝影：fswebcam
ftp-manager	簡單快速的 FTP 用戶端。
ftpscan	簡單的 FTP 掃描預設使用者名稱/密碼。
ftxui-starter	我的摘要
fucker	ROS範例
fuego	Fuego 是 Firestore 資料庫的命令列客戶端。
fugio	Fugio 是一個用於創建數位藝術的開放式視覺程式設計系統
full-discography	發現您喜愛的藝術家的完整唱片！
functy	3D 圖形設計，效果生動、立竿見影
fundiverse	多元化基金
funkplot	放克圖應用程式
furch-diaoulek	Furch-Diaoulek 軟體快照
future-pinball-bam	Future Pinball，使用 BAM 的彈珠台創作工具
future-pinball	Future Pinball，彈珠台創作工具
fuzzit	將連續模糊測試整合到 c/c++/go/rust 專案中的軟體。
fuzzy-repo-finder	用於瀏覽 git 儲存庫的命令列工具。
fwloader	ZTEX 的 FPGA 影像載入器
fwupd	Linux 的韌體更新
fx	命令列工具和終端機 JSON 檢視器
fzf-carroarmato0	命令列模糊查找器
fzf-slowday	fzf 是一個通用的命令列模糊查找器
fzyr	快速 unicode 模糊文字搜索
g4music	優雅地演奏您的音樂。
gabutdm	簡單快速的下載管理器
gaditek-poc	測試 Gaditek-POC 的 Linux 應用程式
galacticgroove	來自 GloopBloop 的白痴
galagans-island	加拉甘島是我們的街機風格太空射擊遊戲
galaxian	經典街機遊戲的重製版
galleon	適用於 Tezos 區塊鏈的加密貨幣錢包，對特所思 (Tezos) 成為當今領先的質押網絡的功能提供深入支持。
gallery-dl	從各種圖像託管網站下載圖像庫和集合
gambit	終端中的棋盤。
gamblers-dice	一個可怕的想法，現在成為現實。
gamblify-verifier	檢查硬碟
gam-bp	GAM 是一款供 Google Workspace 管理員使用的命令列工具。
game-2048	2048益智遊戲
gamecake	單一跨平台 exe 遊戲引擎
gamecakejam	遊戲蛋糕的例子
kglife	Qt 中的另一場人生遊戲
game-scorecard-flutter	玩一款可以監控玩家得分的遊戲。
gswatcher	一個簡單的遊戲伺服器監控和管理工具。
game-watch-ball	便攜式任天堂遊戲和手錶
game-watch-donkeykong2	任天堂 Game & Watch 掌上遊戲
game-watch-donkeykong-circus	任天堂 Game & Watch 掌上遊戲
game-watch-donkeykong	任天堂 Game & Watch 掌上遊戲
game-watch-dkongjr	便攜式任天堂遊戲和手錶
gandi-live-dns	GADI 動態 DNS 更新器
gang-garrison-2	Gang Garrison 2 是 Valve 的 Team Fortress 2 的免費多人遊戲版本
gasparilla-quest-for-the-key	非常精美的掃雷益智遊戲
gate	用於醫學影像和放射治療數值模擬的工具包
gateway3000-gpio-led8	8LED 開/關
gateway-go	OpenIoTHub 網關
gathertown	更好的線上見面方式
gatimaan	由 Kivy 支援的極簡媒體下載器
gating-hello-jason	hello-jason 的開場快照
gaucho	高喬人
gauge2	動漫女孩剝奪了你硬體的使用權
gaui-counter	櫃檯
gaurodan	好射手
gbeuzeboc-listener	基本 ROS2 監聽器
gbeuzeboc-ros2-listener-component	ROS2監聽器基本組件
gbeuzeboc-ros2-talker-component	ROS2揚聲器的基本組成
gbeuzeboc-snapped-cpp-app	記錄啟動時的目錄
gbeuzeboc-snapped-ros1-pkg	ROS1 套件基本快照
gbeuzeboc-snapped-ros2-pkg	ROS2 套件基本快照
gbeuzeboc-talker	基本 ROS2 播音員
gcap-egw-3200	恢復G-sesore校準值工具
gcolor3	由 Jente Hiidskens 以 GTK+ 3 編寫的顏色選擇對話框
gcompris	適合2至10歲兒童的多功能教育遊戲
gdesk	桌面
g-dis3	C++開發的Redis客戶端工具，具備系統級穩定性。
gdu-disk-usage-analyzer	用 Go 編寫的非常快速的磁碟使用分析器。
gearboy	跨平台 Game Boy 和 Game Boy Color 模擬器。
gearcoleco	非常準確的跨平台 ColecoVision 模擬器。
gearsystem	跨平台 Sega Master System/Game Gear/SG-1000 模擬器。
ge-desktop	桌面 Phantom 網上商店
geelus	吉魯斯
geewallet	極簡主義加密貨幣腦錢包
geforce-now-desktop	Linux 上的 GeForce NOW 雲端遊戲
geforcenow-electron	適用於 Nvidia GeForce NOW 遊戲串流服務的 Linux 桌面用戶端
geforcenow	現在的GeForce
gelectrical	GElectrical 是一款用於 LV/MV 配電網路的免費開源電氣系統分析軟體。
gelf-pretty	用於列印 GELF 日誌行的 CLI
gemi-hello	單行電梯推廣為您帶來精彩快照
gemini	Gemini – 如需更新版本，請造訪 GitHub 儲存庫
rjd-gemma	GWAS 資料模型工具包。
genact	無意義活動的產生者
genesyscloud-cli	用於與 Genesys Cloud Platform API 互動的獨立 CLI 套件。
genio-test-tool	Genio測試工具
genopro	用於繪製家譜和家系圖的最佳家譜軟體。
genshin-resource-calc	原神遊戲的資源計算器。
genx	GenX 3 - 表面衍射反射測量和細化
geocoder	Geocoder 是一個簡單且一致的地理編碼庫。
geogebra-discovery	GeoGebra 的實驗版本
geoip-lookup	透過循環 geoip.ubuntu.com 設定啟動時的時區
geojson	這是一個產生 .geojson 檔案的實用程式。
gephi	開放圖視覺化平台
gerenciadorcs	弧線管理器
gestimator	GEestimator 是土木估算軟體，用於準備土木/電力工程的成本和數量估算
getenv	追蹤您的 .env 文件
geth	以太坊協議的官方 Go 實現
get-iplayer	用於從 BBC iplayer 下載內容的 CLI
getting-things-gnome	個人任務管理器和 TODO 清單項
gforth	從現在開始
ggdgfg	我的測試
gh	GitHub CLI
ghdl	VHDL模擬器
ghettorecorder	無線電錄音機，一次存檔數百個串流。
ghfetch	從 GitHub 取得資訊的 CLI 工具
co2offset	二氧化碳核算
ghide	使用簡單的命令隱藏系統上的資料夾
ghidra	NSA 為支援網路安全任務而開發的軟體逆向工程 (SRE) 工具（非官方快照）
ghostbusters	更新經典遊戲
ghostcloud	適用於 Nextcloud、ownCloud、WebDav 的現代跨平台用戶端。
ghostscript-printer-app	Ghostscript 印表機應用程式
ghostwriter	適用於 Markdown 的無幹擾文字編輯器
ghvmctl	用於在快照測試期間操作虛擬機器的實用程式。
gibbr	gibbr 是一個用於打亂檔案名稱的實用程式。
gicuaca	命令行天氣工具。
gif-cli	用於搜尋 gif 的 CLI 工具
gifcurry	Haskell 為 GIF 創作者創建的開源影片編輯器。
gifex	強大而簡單的桌面 GIF 錄製器
gifski	高品質 GIF 編碼器
gigant	不錯的跳棋遊戲
gigi2	吉吉2
gin-pkg-rust	單行電梯推廣為您帶來精彩快照
girinoscope	一個簡單的 Java 圖形使用者介面，用於 Tadpole（一種快速的 Arduino 示波器）
gisoplox	用於切割機的簡單 CAM 軟體
gistdeck	要點甲板
gisto	程式碼片段管理器在 GitHub Gists 上運行，並添加了其他功能，例如使用高級程式碼編輯器搜尋和標記要點。
git-cola	富含咖啡因的 Git GUI
git-confined	吉特SCM
git-delta-snap	具有 git、diff 和 grep 輸出語法高亮顯示功能的分頁器
git-deps	一個在git提交之間進行依賴關係分析的工具
gitea	Gitea – 一個簡單的自架 Git 服務
giter	Git 使用者管理員
git-fame	漂亮列印的「git」儲存庫貢獻者，依貢獻排序
git-filter-repo	用於重寫 Git 儲存庫歷史記錄的多功能工具
glint	Git 的圖形介面
github-gui	github-gui
github-package-manager	基於 GitHub 建置的 Linux 套件管理器
github-stats	透過 github-api 列印儲存庫統計訊息
gitignores	為開源專案建立 .gitignore
gitkraken	用於儲存庫管理、應用程式內程式碼編輯和問題追蹤。
gitlab-artifacts-server	為專案的特定分支提供工件的簡單伺服器
gitlab-ci-pipelines-exporter	GitLab CI 管道導出器 (prometheus/open-metrics)
gitlab-cli	簡單的 GitLab CLI 介面
gitlab-high-views	簡單的 GitLab 檢視器
gitlive	GitLive 是一個幫助開發人員的程式。
gitls	從 URL/使用者/組織列出 git 儲存庫
git-machete2	git-machete 是一個用於組織 git 儲存庫的多功能工具
git-machete3	X
git-machete	git-machete 是一個用於組織 git 儲存庫的多功能工具
git-remote-gosh	Git 開源 Hodler
source-app	適用於 Linux 的 git gui
git-standup	記住你在最後一個工作日做了什麼。
git-tidy	修復本地 git 分支
git-todos	面向開發人員的基於 Git 的 Todos 應用程序
git-tui	git 友善的終端介面的集合。
git-ubuntu	Ubuntu開發git工具
gitwrk	一個小型 CLI 工具，可協助您製作每月報告，直接從 git 儲存庫提取工作時間。
gjergjitest	跨平台參考
glab	官方 GitLab CLI
glade-attente	為 GTK+ 應用程式建立或開啟使用者介面設計
glade	為 GTK+ 應用程式建立或開啟使用者介面設計
gladupe	世界上最好的 Nibbles 克隆。
glances	看看你的系統。頂部/htop 替代方案。
glarea-example	使用 GtkGLArea 和 OpenGL 的範例應用程式
glate	適用於 Linux 桌面版的 Google 翻譯
glaxnimate	簡單的向量動畫程序
galaxy-forces-v2	受 Amiga 經典 Gravity Force 啟發的 2D 多人太空射擊遊戲
glest-game	3D遊戲
glistadmin	現代郵差 listadmin
glmark2-example-lewontin	Alex Lewontin 的 GLMark2 IoT 範例資訊亭
glmixer-unofficial	GLMixer 崩潰了，因為 Ubuntu 20.04 不喜歡 QT4
globalping	從全球分散式測試執行 ping 和 mtr 等網路命令
globaltoken	多演算法加密貨幣 – 60 種挖礦方式
glossary	以前所未有的方式管理您的單字清單！
glouton	Bleemeo 的 Glouton 監控代理
glove	X 的資料收集、操作和分析程序。
glow	在 CLI 中渲染折扣，有一點不同！ 💅🏻
gltron-game	一款受電影 TRON 啟發的遊戲
gluu-server	谷歌伺服器
gmailctl	以聲明方式產生和維護 Gmail 過濾器的工具。
gmail-desktop	專用的跨平台 Gmail 應用程序
gmailfilter	以程式方式過濾 Gmail 郵件
gmail-gui	Gmail 圖形使用者介面
gmusic	用於管理 Google Play 音樂的工具集合。
gnash-raymii	Gnash - deb 18.04 快速重新打包
gnd	ls、cp、mkdir、檔案系統和物件儲存的鏡像指令。
gnocchi	時間序列資料庫即服務
gnome-2048	取得2048塊
gnome-boxes	虛擬化變簡單
gnome-calculator	GNOME 計算器
gnome-calendar	GNOME 日曆
gnome-characters	字元映射應用程式
gnome-chess	玩經典的兩人棋盤遊戲
gnome-clocks	簡單的 GNOME 應用程序，支援秒錶、計時器和世界時鐘
gnome-contacts	GNOME 的聯絡人管理器
gnome-dictionary	檢查線上字典中單字的定義和拼寫
gnome-easytag	用於檢視和編輯音訊檔案中的標籤的簡單應用程式。
gnome-firmware	在設備上安裝韌體
gnome-font-viewer	查看系統上的字體
gnome-info-collect	GNOME 資訊收集
gnome-klotski	滑動塊來解決難題
gnome-logs	systemd 日誌的日誌檢視器
gnome-mahjongg	匹配瓷磚並清除棋盤
gnome-mines	清除雷區隱藏的地雷
gnome-nibbles	引導蠕蟲穿過迷宮
gnome-recipes	GNOME 喜歡做飯
gnome-robots	避開機器人並使它們相互碰撞
gnome-sudoku	在這個數字網格謎題中測試你的邏輯能力
gnome-system-monitor	系統監控器
gnome-taquin	將碎片滑到正確的位置
gnome-tetravex	重新排列碎片以適合正方形
epiphany	適用於 GNOME 的網頁瀏覽器
gnss-sdr-next	GNSS-SDR，「下一個」分支
aris	邏輯證明程序
gnucash-jz	GnuCash 是個人和小型企業財務會計軟體
gnuchess	下一盤國際象棋，包括 GUI 和 CLI。運行 gnuchess.readme 以獲取更多資訊！
gnuclad	分支圖樹產生器
emacs	GNU Emacs 是可擴充的自文件文字編輯器
hello-snapcrafters	熟悉、友善的問候（還有即時包裝演示）
gimp	GNU 影像處理程序
nano	受 Pico 啟發的小型且用戶友好的文字編輯器
gnuplot-editor-unofficial	互動式 gnuplot 腳本編輯器
go14-lbo	Go程式語言編譯器
go16-lbo	Go程式語言編譯器
goathtool	oathtool 的端口，用於在命令列上產生一次性密碼（OTP）。
gobuster-csal	從 Github 儲存庫建立的 Gobuster 二進位文件
gochat	具有無伺服器後端的命令列聊天應用程式
goclockify	Clockify 時間追蹤器的基於終端的用戶端
gocreate	創建 .go 應用程式框架
godaddy-ddns	用於更新 Godaddy 帳戶中的 IP 和 DNS 名稱的工具
go	Go 程式設計語言
godot4	Godot 引擎，您一直在等待的遊戲引擎。
godot-4	您一直在等待的遊戲引擎。
godot4-mono	Godot Engine - .NET，您一直在等待的遊戲引擎。
gd-godot-engine-mono-snapcraft	Godot Engine – 跨平台 2D 和 3D 遊戲引擎
gd-godot-engine-snapcraft	Godot Engine – 跨平台 2D 和 3D 遊戲引擎
go-dupfinder	一個簡單的重複文件查找器
go-edu	管理學校資料的命令列工具
go-encryptor	一個簡單的文件加密器
go-eth	以太坊協議的官方 Go 實現
go-example-webserver	最小的 Golang Web 伺服器以實現敏捷性
gog-galaxy-wine	GOG.com 的遊戲庫。無 DRM 的遊戲。
gogitver	透過 git 歷史記錄提供語意版本控制
gogocat	一個用 golang 製作的可憐的有抱負的 lolcat
gogs	基於 golang 的 git 伺服器和 UI
goimports-reviser	正確的導入排序和程式碼格式化工具（goimports替代品）
going-nowhere	路上出現一個洞後，你被困在一個神祕的夢想小鎮裡
goland	戈蘭
golangci-lint	Go 的快速 linter 運行程序
golang-openstack-exporter	Prometheus 的 OpenStack 匯出器
goldcoin-core	探索數位貨幣的黃金標準
goldendictionary	金字典
gold-sprinter	礦脈跑者版本
go-live	一個非常輕量級的 CLI 實用程序，透過 HTTP 提供檔案目錄
golly-game-of-life	生命遊戲的一個版本
gomodrun	被遺忘的 go 工具，運行並快取 go.mod 檔案中包含的二進位文件
gomuks	Matrix 的 TUI。
go-myip	從公用 STUN 伺服器可靠、快速地取得您的外部 IP 位址
gongbat	打倒巨大的頭目，摧毀你周圍的世界並召喚聲音的力量。
good-job	良好的工作將幫助您有動力養成良好的習慣，並取得高成果
g-assist	谷歌助理
google-bard	谷歌 Bardo 桌面
google-cloud-cli	谷歌雲端CLI
google-cloud-sdk	Google雲端SDK
google-docs	Linux 下的文字處理應用程式
gdoc-html-cleaner	將 Google 文件下載為乾淨的 HTML 文件
google-play-music-desktop-player	Google Play 音樂的獨立播放器
google-webapp	適用於 Google 服務的網路應用
gopeed	支援所有平台的現代下載管理器。
gopherbin	Gopherbin – 用 Go 和 React 寫的私有 Pastebin
gopher-yujinrobot	歌斐軟體
gophrase	CLI 工具可產生強健且易於記憶的密碼
gopkg	守護程式運行 gopkg.in
gopls	gopls，Go 語言伺服器
gorched	基於終端的遊戲，靈感來自《焦土遊戲之母》
goreadme	用 go 編寫的非常簡單的 README.md Web 檢視器/伺服器
goreleaser	盡可能快速、輕鬆地交付 Go 二進位文件
goreleaser-playground	去釋放公園
gosec	Golang 安全檢查器
gost	GO簡單隧道
go-swagger	Go 的 Swagger 2.0 實現
gotham	一個驚人且超快的靜態網站產生器。
gotoaws	連接到您的 EC2 執行個體或 ECS 容器，無需開啟入站連接埠、維護堡壘主機或管理 SSH 金鑰
gotodo	GoTodo 是您的生產力應用程序，用於透過簡單但功能強大的待辦事項清單、任務、提醒、筆記和清單來組織工作和生活。
gotop-cjbassi	受 gtop 和 vtop 啟發的基於終端的圖形活動監視器
gotop	具有終端 UI 的高階命令列工具
govc-axw	vSphere CLI
govendor	用於 Go 開發的依賴銷售工具。
governor-broker	州長魅力的守護程式經紀人
government-contracting-opportunities	尋找政府招聘機會
govulncheck	漏洞資料庫掃描器
gowol	快速喚醒電腦的快速簡單方法
goxel	戈克塞爾。免費開源 3D 體素編輯器
go-yt	透過命令列下載 YouTube 影片和音訊。
